Order,Date,Transaction Type,Transaction Description,Amount,Balance,Category
139,20-May-25,Debit,NANDOS,-29.80,7693.85,Eating Out
140,21-May-25,Debit,AMAZON UK,-67.49,7626.36,Shopping
141,22-May-25,Debit,M&S FOOD,-54.90,7571.46,Groceries
142,23-May-25,Debit,TFL TRAVEL CHARGE,-11.40,7560.06,Transport
143,24-May-25,Debit,PRET A MANGER,-9.80,7550.26,Eating Out
144,25-May-25,Debit,ASDA,-50.34,7499.92,Groceries
145,26-May-25,Debit,UBER EATS,-21.60,7478.32,Eating Out
146,27-May-25,Debit,BOOTS PHARMACY,-28.90,7449.42,Health
147,28-May-25,Debit,SPOTIFY,-9.99,7439.43,Bills/Subscriptions
148,29-May-25,Debit,KFC,-13.50,7425.93,Eating Out
149,30-May-25,Debit,SAINSBURYS,-47.80,7378.13,Groceries
150,31-May-25,Debit,CINEMA TICKET,-15.50,7362.63,Entertainment
151,01-Jun-25,Credit,Salary Payment,3500.00,10862.63,Income
152,02-Jun-25,Debit,TESCO EXTRA,-66.34,10796.29,Groceries
153,03-Jun-25,Debit,TFL TRAVEL CHARGE,-10.10,10786.19,Transport
154,04-Jun-25,Debit,COSTA COFFEE,-4.90,10781.29,Eating Out
155,05-Jun-25,Debit,LANDLORD RENT PAYMENT,-1200.00,9581.29,Housing
156,06-Jun-25,Debit,LIDL,-40.56,9540.73,Groceries
157,07-Jun-25,Debit,FIVE GUYS,-22.50,9518.23,Eating Out
158,08-Jun-25,Debit,TFL TRAVEL CHARGE,-9.70,9508.53,Transport
159,09-Jun-25,Debit,PURE GYM MEMBERSHIP,-29.99,9478.54,Bills/Subscriptions
160,10-Jun-25,Debit,NETFLIX,-12.99,9465.55,Bills/Subscriptions
161,11-Jun-25,Debit,SAINSBURYS,-53.78,9411.77,Groceries
162,12-Jun-25,Debit,MCDONALDS,-9.50,9402.27,Eating Out
163,13-Jun-25,Debit,UBER TRIP,-13.40,9388.87,Transport
164,14-Jun-25,Debit,WAITROSE,-79.23,9309.64,Groceries
165,15-Jun-25,Debit,THREE MOBILE,-15.00,9294.64,Bills/Subscriptions
166,16-Jun-25,Debit,STARBUCKS,-5.70,9288.94,Eating Out
167,17-Jun-25,Debit,TESCO EXPRESS,-31.90,9257.04,Groceries
168,18-Jun-25,Debit,AMAZON UK,-156.00,9101.04,Shopping
169,19-Jun-25,Debit,TFL TRAVEL CHARGE,-11.80,9089.24,Transport
170,20-Jun-25,Debit,ALDI,-39.67,9049.57,Groceries
171,21-Jun-25,Debit,DELIVEROO,-27.80,9021.77,Eating Out
172,22-Jun-25,Debit,M&S FOOD,-58.12,8963.65,Groceries
173,23-Jun-25,Debit,GREGGS,-7.50,8956.15,Eating Out
174,24-Jun-25,Debit,TFL TRAVEL CHARGE,-10.60,8945.55,Transport
175,25-Jun-25,Debit,ASDA,-52.45,8893.10,Groceries
176,26-Jun-25,Debit,WAGAMAMA,-36.20,8856.90,Eating Out
177,27-Jun-25,Debit,SUPERDRUG,-21.30,8835.60,Personal Care
178,28-Jun-25,Debit,SPOTIFY,-9.99,8825.61,Bills/Subscriptions
179,29-Jun-25,Debit,UBER EATS,-23.40,8802.21,Eating Out
180,30-Jun-25,Debit,SAINSBURYS,-49.20,8753.01,Groceries
181,01-Jul-25,Credit,Salary Payment,3500.00,12253.01,Income
182,02-Jul-25,Debit,TESCO EXTRA,-70.12,12182.89,Groceries
183,03-Jul-25,Debit,TFL TRAVEL CHARGE,-9.30,12173.59,Transport
184,04-Jul-25,Debit,PRET A MANGER,-8.60,12164.99,Eating Out
185,05-Jul-25,Debit,LANDLORD RENT PAYMENT,-1200.00,10964.99,Housing
186,06-Jul-25,Debit,LIDL,-37.89,10927.10,Groceries
187,07-Jul-25,Debit,NANDOS,-30.50,10896.60,Eating Out
188,08-Jul-25,Debit,TFL TRAVEL CHARGE,-11.90,10884.70,Transport
189,09-Jul-25,Debit,PURE GYM MEMBERSHIP,-29.99,10854.71,Bills/Subscriptions
190,10-Jul-25,Debit,NETFLIX,-12.99,10841.72,Bills/Subscriptions
191,11-Jul-25,Debit,SAINSBURYS,-56.90,10784.82,Groceries
192,12-Jul-25,Debit,COSTA COFFEE,-5.30,10779.52,Eating Out
193,13-Jul-25,Debit,UBER TRIP,-17.60,10761.92,Transport
194,14-Jul-25,Debit,WAITROSE,-74.56,10687.36,Groceries
195,15-Jul-25,Debit,THREE MOBILE,-15.00,10672.36,Bills/Subscriptions
196,16-Jul-25,Debit,DELIVEROO,-25.70,10646.66,Eating Out
197,17-Jul-25,Debit,TESCO EXPRESS,-28.34,10618.32,Groceries
198,18-Jul-25,Debit,SUMMER SALE - SPORTS DIRECT,-89.99,10528.33,Shopping
199,19-Jul-25,Debit,TFL TRAVEL CHARGE,-10.40,10517.93,Transport
200,20-Jul-25,Debit,ALDI,-44.78,10473.15,Groceries
201,21-Jul-25,Debit,PIZZA HUT,-26.90,10446.25,Eating Out
202,22-Jul-25,Debit,M&S FOOD,-51.23,10395.02,Groceries
203,23-Jul-25,Debit,STARBUCKS,-6.10,10388.92,Eating Out
204,24-Jul-25,Debit,TFL TRAVEL CHARGE,-9.80,10379.12,Transport
205,25-Jul-25,Debit,ASDA,-48.90,10330.22,Groceries
206,26-Jul-25,Debit,UBER EATS,-22.30,10307.92,Eating Out
207,27-Jul-25,Debit,BOOTS PHARMACY,-31.20,10276.72,Health
208,28-Jul-25,Debit,SPOTIFY,-9.99,10266.73,Bills/Subscriptions
209,29-Jul-25,Debit,MCDONALDS,-12.40,10254.33,Eating Out
210,30-Jul-25,Debit,SAINSBURYS,-53.60,10200.73,Groceries
211,31-Jul-25,Debit,ODEON CINEMA,-32.00,10168.73,Entertainment
212,01-Aug-25,Credit,Salary Payment,3500.00,13668.73,Income
213,02-Aug-25,Debit,TESCO EXTRA,-68.45,13600.28,Groceries
214,03-Aug-25,Debit,TFL TRAVEL CHARGE,-10.90,13589.38,Transport
215,04-Aug-25,Debit,COSTA COFFEE,-5.60,13583.78,Eating Out
216,05-Aug-25,Debit,LANDLORD RENT PAYMENT,-1200.00,12383.78,Housing
217,06-Aug-25,Debit,LIDL,-35.67,12348.11,Groceries
218,07-Aug-25,Debit,WAGAMAMA,-34.80,12313.31,Eating Out
219,08-Aug-25,Debit,TFL TRAVEL CHARGE,-9.50,12303.81,Transport
220,09-Aug-25,Debit,PURE GYM MEMBERSHIP,-29.99,12273.82,Bills/Subscriptions
221,10-Aug-25,Debit,NETFLIX,-12.99,12260.83,Bills/Subscriptions
222,11-Aug-25,Debit,SAINSBURYS,-60.12,12200.71,Groceries
223,12-Aug-25,Debit,GREGGS,-7.80,12192.91,Eating Out
224,13-Aug-25,Debit,UBER TRIP,-15.30,12177.61,Transport
225,14-Aug-25,Debit,WAITROSE,-76.90,12100.71,Groceries
226,15-Aug-25,Debit,THREE MOBILE,-15.00,12085.71,Bills/Subscriptions
227,16-Aug-25,Debit,DELIVEROO,-26.50,12059.21,Eating Out
228,17-Aug-25,Debit,TESCO EXPRESS,-30.78,12028.43,Groceries
229,18-Aug-25,Debit,PRIMARK,-52.00,11976.43,Shopping
230,19-Aug-25,Debit,TFL TRAVEL CHARGE,-11.20,11965.23,Transport
231,20-Aug-25,Debit,ALDI,-42.34,11922.89,Groceries
232,21-Aug-25,Debit,FIVE GUYS,-21.90,11900.99,Eating Out
233,22-Aug-25,Debit,M&S FOOD,-55.67,11845.32,Groceries
234,23-Aug-25,Debit,PRET A MANGER,-9.20,11836.12,Eating Out
235,24-Aug-25,Debit,BANK TRANSFER TO SAVINGS,-500.00,11336.12,Transfers
236,25-Aug-25,Debit,ASDA,-49.80,11286.32,Groceries
237,26-Aug-25,Debit,UBER EATS,-24.60,11261.72,Eating Out
238,27-Aug-25,Debit,SUPERDRUG,-19.50,11242.22,Personal Care
239,28-Aug-25,Debit,SPOTIFY,-9.99,11232.23,Bills/Subscriptions
240,29-Aug-25,Debit,KFC,-14.20,11218.03,Eating Out
241,30-Aug-25,Debit,SAINSBURYS,-51.90,11166.13,Groceries
242,31-Aug-25,Debit,TFL TRAVEL CHARGE,-10.70,11155.43,Transport
243,01-Sep-25,Credit,Salary Payment,3500.00,14655.43,Income
244,02-Sep-25,Debit,TESCO EXTRA,-65.78,14589.65,Groceries
245,03-Sep-25,Debit,TFL TRAVEL CHARGE,-9.60,14580.05,Transport
246,04-Sep-25,Debit,STARBUCKS,-5.40,14574.65,Eating Out
247,05-Sep-25,Debit,LANDLORD RENT PAYMENT,-1200.00,13374.65,Housing
248,06-Sep-25,Debit,LIDL,-41.23,13333.42,Groceries
249,07-Sep-25,Debit,NANDOS,-32.40,13301.02,Eating Out
250,08-Sep-25,Debit,TFL TRAVEL CHARGE,-12.10,13288.92,Transport
251,09-Sep-25,Debit,PURE GYM MEMBERSHIP,-29.99,13258.93,Bills/Subscriptions
252,10-Sep-25,Debit,NETFLIX,-12.99,13245.94,Bills/Subscriptions
253,11-Sep-25,Debit,SAINSBURYS,-57.45,13188.49,Groceries
254,12-Sep-25,Debit,COSTA COFFEE,-4.70,13183.79,Eating Out
255,13-Sep-25,Debit,UBER TRIP,-14.90,13168.89,Transport
256,14-Sep-25,Debit,WAITROSE,-72.34,13096.55,Groceries
257,15-Sep-25,Debit,THREE MOBILE,-15.00,13081.55,Bills/Subscriptions
258,16-Sep-25,Debit,DELIVEROO,-28.90,13052.65,Eating Out
259,17-Sep-25,Debit,TESCO EXPRESS,-32.56,13020.09,Groceries
260,18-Sep-25,Debit,AMAZON UK,-43.99,12976.10,Shopping
261,19-Sep-25,Debit,TFL TRAVEL CHARGE,-10.30,12965.80,Transport
262,20-Sep-25,Debit,ALDI,-38.90,12926.90,Groceries
263,21-Sep-25,Debit,PIZZA EXPRESS,-45.60,12881.30,Eating Out
264,22-Sep-25,Debit,M&S FOOD,-61.23,12820.07,Groceries
265,23-Sep-25,Debit,MCDONALDS,-11.50,12808.57,Eating Out
266,24-Sep-25,Debit,TFL TRAVEL CHARGE,-11.70,12796.87,Transport
267,25-Sep-25,Debit,ASDA,-54.67,12742.20,Groceries
268,26-Sep-25,Debit,UBER EATS,-20.80,12721.40,Eating Out
269,27-Sep-25,Debit,BOOTS PHARMACY,-26.70,12694.70,Health
270,28-Sep-25,Debit,SPOTIFY,-9.99,12684.71,Bills/Subscriptions
271,29-Sep-25,Debit,GREGGS,-6.90,12677.81,Eating Out
272,30-Sep-25,Debit,SAINSBURYS,-48.30,12629.51,Groceries
273,01-Oct-25,Credit,Salary Payment,3500.00,16129.51,Income
274,02-Oct-25,Debit,TESCO EXTRA,-67.90,16061.61,Groceries
275,03-Oct-25,Debit,TFL TRAVEL CHARGE,-10.40,16051.21,Transport
276,04-Oct-25,Debit,PRET A MANGER,-8.80,16042.41,Eating Out
277,05-Oct-25,Debit,LANDLORD RENT PAYMENT,-1200.00,14842.41,Housing
278,06-Oct-25,Debit,LIDL,-39.56,14802.85,Groceries
279,07-Oct-25,Debit,WAGAMAMA,-37.50,14765.35,Eating Out
280,08-Oct-25,Debit,TFL TRAVEL CHARGE,-9.80,14755.55,Transport
281,09-Oct-25,Debit,PURE GYM MEMBERSHIP,-29.99,14725.56,Bills/Subscriptions
282,10-Oct-25,Debit,NETFLIX,-12.99,14712.57,Bills/Subscriptions
283,11-Oct-25,Debit,SAINSBURYS,-54.23,14658.34,Groceries
284,12-Oct-25,Debit,STARBUCKS,-5.90,14652.44,Eating Out
285,13-Oct-25,Debit,UBER TRIP,-16.20,14636.24,Transport
286,14-Oct-25,Debit,WAITROSE,-78.45,14557.79,Groceries
287,15-Oct-25,Debit,THREE MOBILE,-15.00,14542.79,Bills/Subscriptions
288,16-Oct-25,Debit,DELIVEROO,-23.70,14519.09,Eating Out
289,17-Oct-25,Debit,TESCO EXPRESS,-29.90,14489.19,Groceries
290,18-Oct-25,Debit,ZARA,-95.00,14394.19,Shopping
291,19-Oct-25,Debit,TFL TRAVEL CHARGE,-11.50,14382.69,Transport
292,20-Oct-25,Debit,ALDI,-46.78,14335.91,Groceries
293,21-Oct-25,Debit,FIVE GUYS,-24.30,14311.61,Eating Out
294,22-Oct-25,Debit,M&S FOOD,-59.12,14252.49,Groceries
295,23-Oct-25,Debit,COSTA COFFEE,-4.80,14247.69,Eating Out
296,24-Oct-25,Debit,TFL TRAVEL CHARGE,-10.90,14236.79,Transport
297,25-Oct-25,Debit,ASDA,-51.34,14185.45,Groceries
298,26-Oct-25,Debit,UBER EATS,-27.40,14158.05,Eating Out
299,27-Oct-25,Debit,SUPERDRUG,-22.80,14135.25,Personal Care
300,28-Oct-25,Debit,SPOTIFY,-9.99,14125.26,Bills/Subscriptions
301,29-Oct-25,Debit,NANDOS,-33.60,14091.66,Eating Out
302,30-Oct-25,Debit,SAINSBURYS,-52.70,14038.96,Groceries
303,31-Oct-25,Debit,VUE CINEMA,-26.50,14012.46,Entertainment
304,01-Nov-25,Credit,Salary Payment,3500.00,17512.46,Income
305,02-Nov-25,Debit,TESCO EXTRA,-69.23,17443.23,Groceries
306,03-Nov-25,Debit,TFL TRAVEL CHARGE,-9.70,17433.53,Transport
307,04-Nov-25,Debit,GREGGS,-7.10,17426.43,Eating Out
308,05-Nov-25,Debit,LANDLORD RENT PAYMENT,-1200.00,16226.43,Housing
309,06-Nov-25,Debit,LIDL,-43.89,16182.54,Groceries
310,07-Nov-25,Debit,PIZZA HUT,-28.90,16153.64,Eating Out
311,08-Nov-25,Debit,TFL TRAVEL CHARGE,-11.30,16142.34,Transport
312,09-Nov-25,Debit,PURE GYM MEMBERSHIP,-29.99,16112.35,Bills/Subscriptions
313,10-Nov-25,Debit,NETFLIX,-12.99,16099.36,Bills/Subscriptions
314,11-Nov-25,Debit,SAINSBURYS,-58.67,16040.69,Groceries
315,12-Nov-25,Debit,MCDONALDS,-10.80,16029.89,Eating Out
316,13-Nov-25,Debit,UBER TRIP,-13.70,16016.19,Transport
317,14-Nov-25,Debit,WAITROSE,-81.23,15934.96,Groceries
318,15-Nov-25,Debit,THREE MOBILE,-15.00,15919.96,Bills/Subscriptions
319,16-Nov-25,Debit,STARBUCKS,-6.30,15913.66,Eating Out
320,17-Nov-25,Debit,TESCO EXPRESS,-34.12,15879.54,Groceries
321,18-Nov-25,Debit,AMAZON UK - BLACK FRIDAY,-178.50,15701.04,Shopping
322,19-Nov-25,Debit,TFL TRAVEL CHARGE,-10.60,15690.44,Transport
323,20-Nov-25,Debit,ALDI,-40.56,15649.88,Groceries
324,21-Nov-25,Debit,DELIVEROO,-29.80,15620.08,Eating Out
325,22-Nov-25,Debit,M&S FOOD,-63.45,15556.63,Groceries
326,23-Nov-25,Debit,PRET A MANGER,-9.60,15547.03,Eating Out
327,24-Nov-25,Debit,BANK TRANSFER TO SAVINGS,-500.00,15047.03,Transfers
328,25-Nov-25,Debit,ASDA,-56.90,14990.13,Groceries
329,26-Nov-25,Debit,UBER EATS,-25.30,14964.83,Eating Out
330,27-Nov-25,Debit,BOOTS PHARMACY,-29.40,14935.43,Health
331,28-Nov-25,Debit,SPOTIFY,-9.99,14925.44,Bills/Subscriptions
332,29-Nov-25,Debit,KFC,-13.90,14911.54,Eating Out
333,30-Nov-25,Debit,SAINSBURYS,-50.20,14861.34,Groceries
334,01-Dec-25,Credit,Salary Payment,3500.00,18361.34,Income
335,02-Dec-25,Debit,TESCO EXTRA,-72.34,18289.00,Groceries
336,03-Dec-25,Debit,TFL TRAVEL CHARGE,-10.20,18278.80,Transport
337,04-Dec-25,Debit,COSTA COFFEE,-5.50,18273.30,Eating Out
338,05-Dec-25,Debit,LANDLORD RENT PAYMENT,-1200.00,17073.30,Housing
339,06-Dec-25,Debit,LIDL,-38.90,17034.40,Groceries
340,07-Dec-25,Debit,NANDOS,-31.80,17002.60,Eating Out
341,08-Dec-25,Debit,TFL TRAVEL CHARGE,-11.90,16990.70,Transport
342,09-Dec-25,Debit,PURE GYM MEMBERSHIP,-29.99,16960.71,Bills/Subscriptions
343,10-Dec-25,Debit,NETFLIX,-12.99,16947.72,Bills/Subscriptions
344,11-Dec-25,Debit,SAINSBURYS,-61.78,16885.94,Groceries
345,12-Dec-25,Debit,STARBUCKS,-6.20,16879.74,Eating Out
346,13-Dec-25,Debit,UBER TRIP,-18.40,16861.34,Transport
347,14-Dec-25,Debit,WAITROSE,-84.56,16776.78,Groceries
348,15-Dec-25,Debit,THREE MOBILE,-15.00,16761.78,Bills/Subscriptions
349,16-Dec-25,Debit,DELIVEROO,-27.90,16733.88,Eating Out
350,17-Dec-25,Debit,TESCO EXPRESS,-31.23,16702.65,Groceries
351,18-Dec-25,Debit,CHRISTMAS SHOPPING - JOHN LEWIS,-245.00,16457.65,Shopping
352,19-Dec-25,Debit,TFL TRAVEL CHARGE,-9.90,16447.75,Transport
353,20-Dec-25,Debit,ALDI,-45.67,16402.08,Groceries
354,21-Dec-25,Debit,WAGAMAMA,-42.30,16359.78,Eating Out
355,22-Dec-25,Debit,M&S FOOD,-76.90,16282.88,Groceries
