Keyword,Category,Occurrence,Comment,Where
CHEMIST,Health,0,,
LLOYDS PHARMACY,Health,0,,
WELLBEING,Health,0,,
THERAPY,Health,0,,
PHYSIO,Health,0,,
BARBER,Personal Care,0,,
HAIRCUT,Personal Care,0,,
SALON,Personal Care,0,,
SPA,Personal Care,0,,
MASSAGE,Personal Care,0,,
BEAUTY,Personal Care,0,,
GROOMING,Personal Care,0,,
COUNCIL TAX,Bills/Subscriptions,0,,
COUNCIL,Bills/Subscriptions,0,,
WATER,Bills/Subscriptions,0,,
THAMES WATER,Bills/Subscriptions,0,,
ELECTRIC,Bills/Subscriptions,0,,
ELECTRICITY,Bills/Subscriptions,0,,
GAS,Bills/Subscriptions,0,,
ENERGY,Bills/Subscriptions,0,,
BRITISH GAS,Bills/Subscriptions,0,,
EDF,Bills/Subscriptions,0,,
OCTOPUS ENERGY,Bills/Subscriptions,0,,
BROADBAND,Bills/Subscriptions,0,,
INTERNET,Bills/Subscriptions,0,,
VIRGIN MEDIA,Bills/Subscriptions,0,,
SKY,Bills/Subscriptions,0,,
BT,Bills/Subscriptions,0,,
EE,Bills/Subscriptions,0,,
O2,Bills/Subscriptions,0,,
VODAFONE,Bills/Subscriptions,0,,
PHONE,Bills/Subscriptions,0,,
MOBILE,Bills/Subscriptions,0,,
TV LICENCE,Bills/Subscriptions,0,,
INSURANCE,Bills/Subscriptions,0,,
LIFE INSURANCE,Bills/Subscriptions,0,,
HEALTH INSURANCE,Bills/Subscriptions,0,,
HOME INSURANCE,Bills/Subscriptions,0,,
CONTENTS INSURANCE,Bills/Subscriptions,0,,
PRIME VIDEO,Bills/Subscriptions,0,,
DISNEY,Bills/Subscriptions,0,,
APPLE TV,Bills/Subscriptions,0,,
HBO,Bills/Subscriptions,0,,
YOUTUBE PREMIUM,Bills/Subscriptions,0,,
AUDIBLE,Bills/Subscriptions,0,,
KINDLE,Bills/Subscriptions,0,,
FITNESS FIRST,Bills/Subscriptions,0,,
DAVID LLOYD,Bills/Subscriptions,0,,
NUFFIELD,Bills/Subscriptions,0,,
CINEWORLD,Entertainment,0,,
Tess,Conference,0,,
EVERYMAN,Entertainment,0,,
THEATRE,Entertainment,0,,
CONCERT,Entertainment,0,,
GIG,Entertainment,0,,
TICKETMASTER,Entertainment,0,,
EVENTBRITE,Entertainment,0,,
SEE TICKETS,Entertainment,0,,
BOOKING.COM,Entertainment,0,,
AIRBNB,Entertainment,0,,
HOTEL,Entertainment,0,,
TRAVEL,Entertainment,0,,
EASYJET,Entertainment,0,,
RYANAIR,Entertainment,0,,
BRITISH AIRWAYS,Entertainment,0,,
TRAINLINE,Entertainment,0,,
EUROSTAR,Entertainment,0,,
NATIONAL EXPRESS,Entertainment,0,,
MEGABUS,Entertainment,0,,
NEXT,Shopping,0,,
TOPSHOP,Shopping,0,,
UNIQLO,Shopping,0,,
GAP,Shopping,0,,
URBAN OUTFITTERS,Shopping,0,,
ASOS,Shopping,0,,
BOOHOO,Shopping,0,,
ARGOS,Shopping,0,,
CURRYS,Shopping,0,,
IKEA,Shopping,0,,
DUNELM,Shopping,0,,
HOMEBASE,Shopping,0,,
B&Q,Shopping,0,,
SCREWFIX,Shopping,0,,
WILKO,Shopping,0,,
POUNDLAND,Shopping,0,,
POUND SHOP,Shopping,0,,
CARD FACTORY,Shopping,0,,
WATERSTONES,Shopping,0,,
WHSmith,Shopping,0,,
STATIONARY,Shopping,0,,
OFFICE,Shopping,0,,
RYMAN,Shopping,0,,
EBAY,Shopping,0,,
ETSY,Shopping,0,,
PAYPAL,Shopping,0,,
STORAGE,Moving/Storage,0,,
MOVING,Moving/Storage,0,,
REMOVAL,Moving/Storage,0,,
VAN HIRE,Moving/Storage,0,,
ATM,Admin/Fees,0,,
WITHDRAWAL,Admin/Fees,0,,
CASH,Admin/Fees,0,,
BANK FEE,Admin/Fees,0,,
ADMIN FEE,Admin/Fees,0,,
CHARGE,Admin/Fees,0,,
OVERDRAFT,Admin/Fees,0,,
INTEREST,Admin/Fees,0,,
REFUND,Income,0,,
CASHBACK,Income,0,,
BONUS,Income,0,,
DIVIDEND,Income,0,,
REBATE,Income,0,,
