Transactions for period 15 July 2026 to 30 August 2026
Date,Time,Transaction Type,Transaction Description,Amount,Currency,Balance
13-Aug-26,09:07,Purchase,GREGGS 1188,-6.41,GBP,2274.52
13-Aug-26,10:02,Purchase,GAIL'S BAKERY 231,-8.40,GBP,2266.12
13-Aug-26,14:29,Purchase,AMAZON.CO.UK*2H4KL,-56.50,GBP,2209.62
14-Aug-26,13:19,Purchase,SHOREDITCH POTATO CO,-9.80,GBP,2199.82
14-Aug-26,14:29,Purchase,AMAZON.CO.UK*2H4KL,-56.29,GBP,2143.53
14-Aug-26,19:33,Purchase,DELIVEROO,-27.60,GBP,2115.93
14-Aug-26,20:41,Purchase,DELIVEROO,-19.13,GBP,2096.80
14-Aug-26,22:38,Purchase,UBER TRIP HELP.UBER.COM,-19.51,GBP,2077.29
15-Aug-26,03:47,Payment,SPOTIFY UK LTD,-11.99,GBP,2065.30
15-Aug-26,12:26,Purchase,SAINSBURYS LOCAL 2210,-9.96,GBP,2055.34
15-Aug-26,13:12,Purchase,M&S FOOD HALL,-10.74,GBP,2044.60
15-Aug-26,20:41,Purchase,DELIVEROO,-45.33,GBP,1999.27
16-Aug-26,08:14,Purchase,TESCO EXPRESS 4471,-38.37,GBP,1960.90
16-Aug-26,09:07,Purchase,GREGGS 1188,-5.83,GBP,1955.07
16-Aug-26,17:23,Purchase,BOOTS 0432,-9.83,GBP,1945.24
16-Aug-26,20:41,Purchase,DELIVEROO,-16.07,GBP,1929.17
16-Aug-26,22:02,Purchase,TFL TRAVEL CHARGE,-4.18,GBP,1924.99
17-Aug-26,09:12,Purchase,TESCO PETROL 3421,-61.40,GBP,1863.59
17-Aug-26,11:02,Purchase,LIDL GB LONDON,-25.88,GBP,1837.71
17-Aug-26,20:55,Purchase,SHOREDITCH HOUSE LONDON,-38.00,GBP,1799.71
17-Aug-26,22:02,Purchase,TFL TRAVEL CHARGE,-11.83,GBP,1787.88
18-Aug-26,06:09,Direct Debit,OCTOPUS ENERGY LTD,-47.10,GBP,1740.78
18-Aug-26,12:08,Purchase,PRET STATION 7788,-6.20,GBP,1734.58
18-Aug-26,13:12,Purchase,M&S FOOD HALL,-8.94,GBP,1725.64
19-Aug-26,12:31,Purchase,SQ *THE COFFEE JAR,-4.10,GBP,1721.54
20-Aug-26,07:00,Payment,TRANSFER TO SAVINGS,-600.00,GBP,1121.54
20-Aug-26,10:19,Purchase,COSTA COFFEE 5521,-7.53,GBP,1114.01
21-Aug-26,08:41,Purchase,PRET A MANGER 344,-10.67,GBP,1103.34
21-Aug-26,09:58,Purchase,WWW.KLARNA.CO.UK,-36.00,GBP,1067.34
21-Aug-26,12:26,Purchase,SAINSBURYS LOCAL 2210,-29.06,GBP,1038.28
21-Aug-26,23:11,Purchase,UBER TRIP HELP.UBER.COM,-28.16,GBP,1010.12
22-Aug-26,06:11,Direct Debit,THAMES WATER,-31.20,GBP,978.92
22-Aug-26,14:29,Purchase,AMAZON.CO.UK*2H4KL,-73.74,GBP,905.18
22-Aug-26,16:12,Purchase,ZETTLE_*PLANT SHOP E8,-18.50,GBP,886.68
22-Aug-26,18:05,Purchase,SAINSBURYS LOCAL 2210,-12.47,GBP,874.21
22-Aug-26,22:38,Purchase,UBER TRIP HELP.UBER.COM,-15.95,GBP,858.26
23-Aug-26,12:26,Purchase,SAINSBURYS LOCAL 2210,-4.50,GBP,853.76
23-Aug-26,20:12,Purchase,UBER EATS,-24.30,GBP,829.46
23-Aug-26,21:16,Purchase,AMAZON.CO.UK*2H4KL,-29.65,GBP,799.81
24-Aug-26,12:26,Purchase,SAINSBURYS LOCAL 2210,-20.70,GBP,779.11
24-Aug-26,22:02,Purchase,TFL TRAVEL CHARGE,-12.82,GBP,766.29
25-Aug-26,14:06,Purchase,HARVEY NICHOLS LONDON,-87.00,GBP,679.29
25-Aug-26,18:05,Purchase,SAINSBURYS LOCAL 2210,-11.73,GBP,667.56
25-Aug-26,21:16,Purchase,AMAZON.CO.UK*2H4KL,-53.54,GBP,614.02
26-Aug-26,04:18,Payment,APPLE.COM/BILL,-2.99,GBP,611.03
26-Aug-26,08:22,Purchase,SHOREDITCH GRIND,-3.90,GBP,607.13
27-Aug-26,08:14,Purchase,TESCO EXPRESS 4471,-39.14,GBP,567.99
27-Aug-26,11:35,Purchase | EUR 240.00 | FX rate £1 = €1.1590,AIRBNB * HMQ4X2ZK,-207.08,GBP,360.91
27-Aug-26,13:12,Purchase,M&S FOOD HALL,-15.97,GBP,344.94
27-Aug-26,19:58,Purchase,DELIVEROO,-35.09,GBP,309.85
27-Aug-26,23:11,Purchase,UBER TRIP HELP.UBER.COM,-9.68,GBP,300.17
28-Aug-26,09:03,Credit,ACME LTD SALARY,3850.00,GBP,4150.17
28-Aug-26,12:53,Purchase,PRET A MANGER 344,-5.63,GBP,4144.54
28-Aug-26,16:44,Purchase,LIDL GB LONDON,-57.82,GBP,4086.72
28-Aug-26,21:16,Purchase,AMAZON.CO.UK*2H4KL,-69.09,GBP,4017.63
29-Aug-26,08:41,Purchase,PRET A MANGER 344,-10.07,GBP,4007.56
29-Aug-26,12:53,Purchase,PRET A MANGER 344,-5.40,GBP,4002.16
29-Aug-26,15:36,Purchase,COSTA COFFEE 5521,-10.91,GBP,3991.25
29-Aug-26,18:05,Purchase,SAINSBURYS LOCAL 2210,-6.51,GBP,3984.74
30-Aug-26,09:07,Purchase,GREGGS 1188,-8.17,GBP,3976.57
30-Aug-26,10:19,Purchase,COSTA COFFEE 5521,-10.56,GBP,3966.01
30-Aug-26,11:19,Purchase,TESCO EXTRA 1102,-74.25,GBP,3891.76
